Player_Name,Player_Name_Std,Player_ID,Team,Pos,Age,GP,TOI,GAR,WAR,SPAR,G,A1,A2,Points
Roope Hintz,ROOPE.HINTZ,8478449,DAL,C,26,80,17.240000000000002,24.2,4.0,7.7,30,17,18,65
Parker Wotherspoon,PARKER.WOTHERSPOON,8478450,BOS,D,26,41,17.726829268292683,0.5,0.1,0.2,0,1,7,8
Ethan Bear,ETHAN.BEAR,8478451,WSH,D,26,24,14.904166666666667,-1.6,-0.3,-0.5,1,0,3,4
Caleb Jones,CALEB.JONES,8478452,COL,D,26,25,12.208,1.0,0.2,0.3,0,3,2,5
Noah Juulsen,NOAH.JUULSEN,8478454,VAN,D,26,54,14.894444444444444,-0.4,-0.1,-0.1,1,3,3,7
Jack Roslovic,JACK.ROSLOVIC,8478458,CBJ/NYR,C,26,59,15.554237288135594,5.6,0.9,1.8,9,12,10,31
Zach Werenski,ZACH.WERENSKI,8478460,CBJ,D,26,70,24.45142857142857,15.3,2.5,4.9,11,19,27,57
Nicolas Roy,NICOLAS.ROY,8478462,VGK,C,26,70,15.452857142857143,4.7,0.8,1.5,13,17,11,41
Anthony Beauvillier,ANTHONY.BEAUVILLIER,8478463,CHI/NSH/VAN,L,26,60,13.581666666666667,-1.8,-0.3,-0.6,5,6,6,17
Daniel Sprong,DANIEL.SPRONG,8478466,DET,R,26,76,12.0,5.8,0.9,1.8,18,14,11,43
Jeremy Lauzon,JEREMY.LAUZON,8478468,NSH,D,26,79,18.61392405063291,-4.9,-0.8,-1.5,6,4,4,14
Thomas Chabot,THOMAS.CHABOT,8478469,OTT,D,26,51,23.045098039215684,9.3,1.5,3.0,9,9,12,30
Mathieu Joseph,MATHIEU.JOSEPH,8478472,OTT,R,26,72,16.47222222222222,7.3,1.2,2.3,11,16,8,35
Lawson Crouse,LAWSON.CROUSE,8478474,ARI,L,26,81,16.817283950617284,1.6,0.3,0.5,23,15,4,42
Mitchell Stephens,MITCHELL.STEPHENS,8478477,MTL,C,26,23,9.052173913043477,0.6,0.1,0.2,2,1,0,3
Mitch Marner,MITCH.MARNER,8478483,TOR,R,26,69,21.27246376811594,16.1,2.6,5.1,26,40,19,85
Joel Eriksson Ek,JOEL.ERIKSSON EK,8478493,MIN,C,26,77,20.527272727272727,17.0,2.8,5.4,30,15,19,64
Denis Gurianov,DENIS.GURIANOV,8478495,NSH/PHI,R,26,18,12.211111111111112,1.7,0.3,0.5,1,1,0,2
Jake Debrusk,JAKE.DEBRUSK,8478498,BOS,L,26,80,16.8325,4.1,0.7,1.3,19,14,7,40
Ivan Provorov,IVAN.PROVOROV,8478500,CBJ,D,26,82,22.162195121951218,0.1,0.0,0.0,5,13,14,32
Dennis Gilbert,DENNIS.GILBERT,8478502,CGY,D,26,34,12.282352941176471,-1.8,-0.3,-0.6,1,0,6,7
John Marino,JOHN.MARINO,8478507,N.J,D,26,75,20.957333333333334,3.3,0.5,1.1,4,7,13,24
Yakov Trenin,YAKOV.TRENIN,8478508,COL/NSH,C,26,76,14.572368421052632,2.7,0.4,0.8,12,3,2,17
